title,price,publisher,pages,author
Sorority House Massacre II,138.34,Erdman-Bartell,228,Carina Caverhill
Superhero Movie,253.58,"Conn, Pagac and Crist",379,Luce Marie
Pine Flat,285.35,Littel-Abbott,147,Keelby Schade
"Man Who Came to Dinner, The",229.29,"Bahringer, Windler and Parisian",229,Reiko Widmore
Enough Said,203.77,"Krajcik, Kreiger and Bailey",203,Marika Salvadori
Love and a Bullet,174.35,"Greenholt, Johnson and Fahey",38,Flor Kubalek
Mother of Mine (Äideistä parhain),46.49,"Trantow, Macejkovic and Roberts",395,Genevra Demead
How to Die in Oregon,277.67,Heidenreich-Legros,46,Millard Cox
Music From Another Room,83.06,"VonRueden, Lehner and Stroman",42,Gretel Payne
Killing Bono,233.28,McDermott Group,191,Sela Maxworthy
Closed Circuit,90.16,"Goyette, Kub and Brown",71,Tomasine Heard
Bliss (Mutluluk),291.99,Bergnaum Group,189,Jocelin Baptista
Four Brothers,215.67,"Wilderman, McClure and Weimann",174,Kelley Scattergood
"Swimmer, The",240.55,"Gleichner, Walsh and MacGyver",239,Dorise Perkis
"Rebound, The",299.89,Morar Group,101,Albertina Henstridge
Dragon Lord (a.k.a. Dragon Strike) (Long Xiao Ye),187.84,"Jerde, Conroy and Gislason",267,Evelin Ryburn
Another Chance,136.99,MacGyver-Mante,418,Stanislas Dudlestone
"Crow, The",35.34,Goyette-Marquardt,220,Suzann Doore
Tromeo and Juliet,22.62,"Goodwin, Reichert and Hodkiewicz",49,Mara Malenfant
"Hills Have Eyes II, The",287.55,Wolff and Sons,1,Quinta Feavers
"Truth of Lie, The (Die Wahrheit der Lüge)",72.37,O'Hara Inc,118,Clerkclaude Stormont
Body Shots,219.06,Homenick and Sons,138,Dar Churchard
House of Cards,129.69,"Langosh, Hahn and Bradtke",345,Laina Menhci
Beachhead,51.35,"Treutel, Hamill and Kris",320,Katerina Baraclough
Cran d'arrêt,290.75,Monahan-Dooley,120,Paola Zarfati
Cabaret Balkan (Bure Baruta),255.67,Strosin-Bartoletti,149,Reidar Arnison
My Friend Irma Goes West,109.15,Auer-Grant,50,Harmonia Hehl
"Guard, The",155.24,"Kub, Gorczany and Daugherty",306,Pace Wooller
"Whistleblower, The",187.83,Shanahan and Sons,378,Hildagarde Bickardike
High School Musical 2,73.01,Klocko-Ernser,134,Daryl Wymer
Die Fischerin,206.49,Schoen Inc,477,Dana Gergher
Cocaine Cowboys II: Hustlin' With the Godmother,51.3,"Farrell, Ratke and Rippin",180,Hermia Entwhistle
Le Donk & Scor-zay-zee,281.76,Hamill and Sons,84,Tabby Seacroft
"Enforcer, The",188.82,Hermiston and Sons,118,Christiano Vasiljevic
Annie,190.39,Miller Group,344,Tomasina Hunston
Cartoon All-Stars to the Rescue,42.14,"Tillman, Kris and Beer",227,Starlene D'Antonio
Stretch,102.46,Bartoletti Group,384,Kial Quiddinton
Facing Ali,82.33,"Kessler, Dicki and Bednar",402,Emmy Poizer
Freedom Song,167.32,"Daniel, Willms and Nitzsche",381,Wilfrid Van Son
"Hobbit: An Unexpected Journey, The",277.63,"Romaguera, Buckridge and Sanford",430,Cissy McGebenay
Euphoria (Eyforiya),120.69,Swaniawski-Tillman,415,Dulce Gautrey
Pan,168.45,"O'Reilly, Huel and Adams",49,Rheta Rykert
Muppet Treasure Island,201.94,Mayert Inc,10,Shae Kewzick
G@me,27.8,Gutkowski-Konopelski,123,Kalie Bleasdale
Red Cliff Part II (Chi Bi Xia: Jue Zhan Tian Xia),216.01,Powlowski LLC,198,Virge Briscam
Year of the Dragon,187.13,Brekke Group,328,Berti Olivie
Near Dark,229.17,Bernhard-Langworth,183,Johnna Davall
"Bedroom Window, The",111.34,Howe-Hickle,255,Cathee Cottam
McConkey,221.19,"Schroeder, Abernathy and Sipes",466,Cameron Stave
Mugabe and the White African,255.28,Heidenreich-Keeling,128,Eloisa Greenwell
Bright Future (Akarui mirai),17.35,"Cormier, Marquardt and Kirlin",441,Brinn Kleinerman
Ride the Divide,169.21,Upton LLC,36,Cathy Stanway
Blood Moon,192.36,"Lesch, Swift and O'Conner",139,Catherina Malyj
Chromophobia,254.88,Stokes and Sons,475,Brenden Demeza
Divine Horsemen: The Living Gods of Haiti,25.76,Kuhlman-Quitzon,276,Lorettalorna Lambrick
"Boy Friend, The",202.83,Graham-Sanford,243,Sydel Glason
Stan Helsing,154.79,"Bartell, Dietrich and Kautzer",360,Marketa O'Lehane
"Brothers Karamazov, The",190.03,"Kassulke, Abshire and Stiedemann",224,Jinny Wedderburn
Body and Soul,262.68,Treutel-Wuckert,324,Ethelda Methven
Mean Guns,296.12,"Luettgen, Stanton and Fisher",82,Reyna Dargie
Tomboy,233.69,"Pollich, Stiedemann and Greenholt",63,Florinda Arnould
"Killer Meteors, The (Feng yu shuang liu xing)",273.09,"Wintheiser, Koss and Kris",25,Branden Maywood
"Profit, The",203.45,"Collier, King and Ritchie",375,Freddie Forrest
Power 98,243.88,Renner Group,408,Sophi Verriour
Brigadoon,232.34,"Krajcik, Auer and Welch",132,Walliw Flicker
Dark Portals: The Chronicles of Vidocq  (Vidocq),252.33,Feest and Sons,34,Ralf Worden
Tales of Vesperia: The First Strike (Teiruzu obu vesuperia: The first strike),221.07,Beahan and Sons,492,Mallorie Keepin
Outrage (Autoreiji),177.72,Hudson-Kuhn,120,Alphonso Escot
It Could Happen to You,107.84,Morar Inc,288,Jarad Brimm
Enemy Mine,278.79,"Fay, Hagenes and Rolfson",494,Gerti Gomery
Executive Suite,149.25,"Koelpin, Cummings and Feest",269,Josey Aykroyd
Stupid Boy (Garçon stupide),69.81,"Dietrich, Batz and Wintheiser",423,Loree Gibbs
Dead Rising: Watchtower,230.75,"Christiansen, Kemmer and Padberg",74,Teriann Joss
Because I Said So,245.78,Kozey LLC,225,Ellary Hattoe
Some Body,170.71,Osinski-Reilly,92,Marylou Natt
"Gold Rush, The",250.0,Graham-Kuhn,278,Nissa Gridon
Saving Grace,224.58,Schuster and Sons,402,Jerrilee Beazley
"Tiger and the Snow, The (La tigre e la neve)",231.84,Reynolds-Casper,384,Ceciley Crisell
"Star Packer, The",130.5,"Cronin, Breitenberg and Medhurst",184,Louis Shoemark
Changing Sides (De l'autre côté du lit),189.56,Abbott-Jacobson,383,Mercedes Boobier
In a Glass Cage (Tras el cristal),196.68,"Greenfelder, Miller and Doyle",438,Veronike Bastow
"Celluloid Closet, The",15.84,Murray-Considine,334,Clifford Hedderly
Mystery Science Theater 3000: The Movie,59.58,Waelchi-Grady,353,Berte Woolis
Pavement: Slow Century,276.51,"Grady, Funk and Johnson",220,Juliette Loving
"Man with a Cloak, The",230.21,Dickens LLC,352,Mendel Lawman
Highway Racer,84.89,Miller Inc,268,Yorgos Greengrass
Jackpot,8.09,Kiehn Inc,491,Nadya Pattington
"Toast of New York, The",207.34,Sporer Inc,445,Clevie Grimsdith
Chappie,26.03,Funk and Sons,295,Elia Gontier
Criminal,286.48,Kub Group,493,Worden Flint
Don't Bother to Knock,260.32,Quitzon LLC,187,Eve Tavernor
Rapture (Arrebato),136.58,"Kertzmann, Turcotte and Walsh",392,Thorsten Haibel
Babylon 5: The Lost Tales - Voices in the Dark,297.39,"Kulas, Mann and Cormier",377,Brucie Matthis
Bears,161.59,Lang Inc,305,Consuelo Fane
Ranma ½: Nihao My Concubine (Ranma ½: Kessen Tôgenkyô! Hanayome o torimodose!!),43.03,Gutmann-Gusikowski,17,Elaine Hoodlass
"Swimming Pool, The (La piscine)",159.51,"Welch, Shields and Crist",83,Giffy Poupard
"Little Stiff, A",201.51,"Koss, Steuber and Prohaska",40,Jojo Yurenin
Permanent Midnight,92.81,Bins-Robel,102,Sheppard Goadby
"10,000 BC",212.78,Zemlak-Champlin,481,Anatol Embery
Swimming Pool,36.01,"Jast, Jacobson and Langosh",344,Ruthy Mularkey
Devil Girl From Mars,142.71,Sauer-Dooley,54,Annadiane Minico
"Alan Smithee Film: Burn Hollywood Burn, An",192.46,Boyle-Walsh,443,Stillmann Fortnam
Justice League: War,175.56,"Kreiger, Cummerata and Spinka",127,Melita Haucke
Mutant Action (Acción Mutante),175.87,Kuvalis Group,378,Barnett Tildesley
"Gruffalo, The",19.59,Buckridge Inc,445,Mallorie Yakebovich
"Letter, The",296.2,"Bednar, Roob and Fadel",395,Lucia Blaszczynski
"Ugly Truth, The",94.19,"Turcotte, Jakubowski and Konopelski",48,Gabi Dinesen
"Life of David Gale, The",57.96,McCullough-McGlynn,117,Vina Cline
Budz House,208.4,"Larson, Kuhic and Schiller",133,Tarrance Spiers
Quarantine,3.99,"Fadel, Cole and Lynch",341,Loise Guile
Five Easy Pieces,214.16,Lesch-Spinka,360,Eveline McMonies
"Kind of Loving, A",167.15,"Hoppe, Johnson and Parker",116,Tova Whyffen
Kidnapped,9.29,Koss-West,366,Hank Seyers
Tora! Tora! Tora!,40.32,Gislason Group,263,Christiana Duckering
"Last Temptation of Christ, The",235.96,Spinka LLC,433,Josee Dorbin
The Brain,199.81,Kshlerin Group,269,Cullan De Brett
Supernova,27.49,"Volkman, Hartmann and Turcotte",497,Caro Bisatt
1000 Journals,21.7,Bosco Group,405,Berkly Ginman
Strange Cargo,3.59,"Herman, Koss and Watsica",108,Matias Donahue
Otis,40.91,Weissnat Inc,176,Wilfred Boon
"Ali Zoua: Prince of the Streets (Ali Zaoua, prince de la rue)",297.27,"Schroeder, Bahringer and Towne",265,Forrest Vaun
Amuck!,42.93,"Schoen, Ankunding and Jakubowski",329,Evangelin Le Frank
"Last Drop, The",27.69,Nikolaus-Pfeffer,384,Kakalina Janton
Kart Racer,10.69,MacGyver-Shanahan,252,Pooh Dyers
Gold Diggers of 1933,258.1,"Hilpert, Beier and Parisian",219,Golda Bachura
All Over the Guy,3.83,"Hackett, Smith and Collins",114,Lilias Strangwood
Forever Hardcore: The Documentary,249.34,"Trantow, Crooks and Turcotte",258,Forester Scohier
"Billy Blazes, Esq.",153.74,Monahan-Fahey,404,Silvan Dellenbroker
3 Extremes (Three... Extremes) (Saam gaang yi),150.2,Brakus-Leffler,341,Rita Minshaw
Pelle Svanslös,8.06,Moen Group,253,Marcy Lundbech
On the Edge (Hak bak do),253.52,Reichel Group,21,Niven Mehaffey
Against All Odds,25.85,Kuhn Group,471,Dolly Neilus
Big Buck Bunny,32.88,Bradtke Inc,226,Darleen Conyer
Girl,79.19,Emmerich Inc,380,Rosalynd Erswell
"Story of O, The (Histoire d'O)",67.99,Simonis-Rempel,166,Cindra Tassell
Don't Think About It (Non Pensarci),67.25,Medhurst-Marvin,302,Sharai Twiname
With Friends Like These...,228.89,Ledner-Collins,236,Kain Stillert
Dear Brigitte,210.75,White-Lemke,111,Birk Cockhill
Beverly Hills Cop II,177.26,Franecki-Rolfson,99,Pattie Standall
When the Last Sword is Drawn (Mibu gishi den),222.69,"Kshlerin, Corkery and Jacobson",129,Zola Hun
Tremors 3: Back to Perfection,69.61,"Ondricka, Harber and Sanford",129,Krystle Minard
Flesh and Bone,25.24,Wilkinson and Sons,330,Minta Hogsden
Whitewash,129.93,Bernhard Group,252,Malynda Sahnow
"Boys, Les",60.77,Walker-Roob,289,Baryram Faragher
Over My Dead Body,204.86,"Jacobs, Prohaska and Goodwin",448,Greta Messier
"Honor Among Thieves (Adieu l'ami) (Farewell, Friend)",90.7,Dach-Weissnat,13,Judi Keene
Pooh's Heffalump Movie,198.46,"Mohr, Swaniawski and Boyer",111,Nevil Huckleby
"Black Room, The",61.4,Collins Group,218,Kenyon Braybrooke
Eyes of Laura Mars,193.65,Grimes Inc,354,Cymbre Ielden
Snatch,86.87,"Treutel, Wolf and Weber",92,Ermentrude Veltman
"Queen of Versailles, The",28.64,"Kuphal, Torphy and Collins",313,Garnet Ziemke
Local Hero,224.15,Schmitt and Sons,158,Allister Gilbody
Babes in Toyland,274.86,"Bergstrom, Gerhold and Wyman",158,Giustina Niesing
"Drop, The",40.92,"Dibbert, Schaden and Krajcik",58,Court Ashall
Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode),176.4,Gulgowski Group,345,Madlen Lehrmann
Beethoven's Treasure Tail,139.43,Dibbert-Senger,245,Ingeborg Matusson
Hannah Takes the Stairs,219.86,"Hahn, Labadie and Schaefer",496,Ephrem Damper
Ice Castles,174.78,"Dickens, Johns and Schneider",121,Consuelo Mountlow
Numbskull Emptybrook in the Army (Uuno Turhapuro armeijan leivissä),38.34,Bartoletti LLC,317,Howey Houldey
No Time for Love,51.67,Dickens-Schimmel,162,Bailey Bourdis
"Making of a Legend: Gone with the Wind, The",77.73,Mills-Bogisich,183,Kath Aronstam
He Died With a Felafel in His Hand,267.52,Sipes and Sons,224,Erin Banbrook
Travelling Salesman,292.98,Doyle Group,134,Gabriello Jephcott
Confessions of a Driving Instructor,99.61,Renner-McGlynn,150,Lauren Bagwell
Nine Miles Down,250.62,"Robel, Bogisich and Deckow",254,Tani Smewin
Ruby Cairo,134.73,Nienow LLC,415,Richie Carncross
"Hole, The",161.86,"Nienow, Davis and Smitham",264,Diane Houndsom
Snake Woman's Curse,117.51,Ruecker and Sons,256,Mandie Severs
E.T. the Extra-Terrestrial,250.36,"Ortiz, Rolfson and Stehr",305,Rhett Ferriman
Smashed,224.46,Kuhic-O'Conner,4,Tiffanie Solloway
Strul,43.19,Bradtke and Sons,481,Chrissy Cudby
Born Wild,103.63,Sauer-Mayert,236,Lemar Alywen
"Execution of P, The (Kinatay)",110.73,Cremin Inc,430,Renie Hugle
"Soldier's Daughter Never Cries, A",160.92,Buckridge-Waters,216,Normand McNee
Sound and Fury,42.0,"Breitenberg, Bernhard and Lind",352,Tyne Blight
Suzhou River (Suzhou he),198.86,Carter-Turner,356,Martynne Pagett
"Chemical Brothers: Don't Think, The",199.38,Moen-Bruen,43,Aili Radmore
Iceman,150.53,Kutch Group,141,Enrika Butfield
"RKO Production 601: The Making of 'Kong, the Eighth Wonder of the World'",164.22,"Parker, Rau and Swaniawski",344,Mallorie Jewitt
A Chairy Tale,40.35,"McLaughlin, Welch and Schmidt",207,Julissa Coutts
Tin Man,29.91,"Medhurst, Smitham and Botsford",377,Hurley Aireton
Brimstone and Treacle,261.43,O'Kon-Lesch,51,Ingrid Dixey
"Road to El Dorado, The",200.99,"Langosh, Barton and Wyman",24,Udale Twohig
Knights of Bloodsteel,223.18,McGlynn and Sons,445,Carmelina Lippard
"Queen Margot (Reine Margot, La)",147.2,"Schneider, Berge and Wolf",100,Gavin Palister
"Gilded Lily, The",254.14,Klein-Runolfsson,123,Raven Balderston
Changing Times (Les temps qui changent),219.28,"MacGyver, Reichel and Moore",374,Kelvin Gingel
"Tigger Movie, The",8.71,Hermiston Inc,277,Katharina Ovid
Theodore Rex,2.16,Schiller and Sons,17,Josephine Ambrosoni
"Way, Way Back, The",42.06,Rau-Mertz,414,Kaila ducarme
Cats Don't Dance,227.78,Hodkiewicz and Sons,428,Koressa Coulson
"Act of Killing, The",220.96,Volkman-Lemke,76,Sib Ivory
Danika,235.68,Aufderhar Group,104,Shayne Chaize
Dark Shadows,8.73,Hansen-Hagenes,452,Kimball Timson
Between Two Worlds,209.59,Heathcote-Botsford,161,Noam Lindop
California,223.98,Borer Inc,273,Kimbell Raynes
White God (Fehér isten),90.76,Corkery and Sons,395,Trey Bagnall
Grudge Match,88.79,Baumbach-Bayer,160,Alvira Grieg
"Runner, The (Davandeh)",190.81,Will-Anderson,416,Paloma Herche
Palookaville,243.2,Heidenreich-Reichel,106,Brenda Grigorescu
"Man There Was, A (Terje Vigen)",10.45,Krajcik LLC,297,Toinette Dowding
"Uncle Marin, the Billionaire (Nea Marin miliardar) (Uncle Martin, the Multimillionaire)",170.09,Breitenberg LLC,333,Sharline Jeffels
"White Hell of Pitz Palu, The (Die weiße Hölle vom Piz Palü) ",120.13,"Hickle, Tremblay and Satterfield",452,Netti Hartridge
Braddock: Missing in Action III,200.4,Gislason-Corwin,268,Cyndia Haspineall
"Last Lovecraft: Relic of Cthulhu, The",198.18,"Heathcote, Block and Abernathy",290,Veradis Cottam
"Saban, Son of Saban",157.5,"Torp, Langworth and Hoppe",315,Kaspar Allicock
The Land Before Time VI: The Secret of Saurus Rock,181.22,Walsh and Sons,379,Huntington Bolf
Fade to Black,37.4,West and Sons,464,Catharine Titcom
City of Life and Death (Nanjing! Nanjing!),6.62,Schuppe LLC,476,Pinchas Dungee
Wild America,149.23,Bahringer-Wisoky,134,Noellyn Nel
Witches' Hammer (Kladivo na carodejnice) ,10.94,Ledner Group,313,Lucille Dienes
Girl Shy,262.02,Hickle-Thiel,418,Halli Polet
"Notorious Bettie Page, The",201.74,McKenzie Inc,100,Clovis Stenbridge
Solas,60.43,"Kemmer, Quitzon and Bradtke",353,Jamil Di Meo
Bionicle 2: Legends of Metru Nui,218.47,Bailey-Hermann,357,Sibley Bunn
Alice (Neco z Alenky),141.71,Kohler Inc,310,Ruttger Kimbling
Sparrows,291.87,"Zboncak, Volkman and Ritchie",144,Jessamyn MacLaughlin
"Other Side of Midnight, The",177.28,Halvorson-Will,339,Elisha Edgecumbe
America 3000,234.91,Bernhard-Becker,183,Lauryn Nairns
Miss Castaway and the Island Girls,251.7,Wintheiser-Schumm,309,Stesha Freezer
"State of Things, The (Stand der Dinge, Der)",56.88,Spencer Inc,104,Hayward Fauning
"Cross: The Arthur Blessitt Story, The",195.66,Rodriguez-Cruickshank,279,Ethelin Montes
Bandolero!,146.96,"Hills, Hackett and Gottlieb",22,Isobel Emma
Trouble in Paradise,214.48,"Braun, Ziemann and Thompson",217,Matthiew Pinard
Pekka ja Pätkä Suezilla,286.52,Schaefer Group,269,Barret Vero
"Drum, The (Drums)",268.68,Ziemann Inc,159,Jess Allinson
Ignition,139.25,Schumm-Hodkiewicz,333,Alonzo Ridehalgh
Anatomy of a Murder,9.62,Turner-Zulauf,162,Amanda Binnell
Ultraviolet,181.79,"Brekke, Nienow and Dooley",440,Cordula Paxeford
Girl 6,287.24,"Becker, Boyer and Denesik",108,Griselda Hanny
Girl of the Golden West,15.29,"Schamberger, Abernathy and Kautzer",77,Corliss Lyness
Aaja Nachle,247.27,Gutmann Inc,409,Cati Esilmon
Herbie Goes to Monte Carlo,21.7,Harvey LLC,439,Fairlie Streight
Emil i Lönneberga,236.94,Deckow-Hansen,418,Marianne Casero
Gummo,243.31,"Raynor, Hammes and Wilderman",353,Giselle Capinetti
Record of a Tenement Gentleman (Nagaya shinshiroku),97.16,Streich-Rohan,56,Saunders Hatliffe
House Party: Tonight's the Night,275.63,Braun-Kshlerin,466,Duffie Clayfield
"Where Angels Go, Trouble Follows",247.2,Hackett Group,10,Winfred Abbott
Freeze Me,75.81,Hoppe Group,113,Emmaline Normanton
"Friend of the Deceased, A (Priyatel pokonika)",22.3,"Kihn, O'Keefe and Grady",457,Mady Crease
Stupid Boy (Garçon stupide),190.74,"Harris, Ernser and Lockman",216,Dunc Grevile
"Earth Is a Sinful Song, The (Maa on syntinen laulu)",92.6,"Armstrong, Klein and Prosacco",465,Reinold Plumley
"Exterminating Angel, The (Ángel exterminador, El)",197.12,Torphy Group,277,Victoria Crose
"Pit, The",237.87,Gorczany-Boyer,87,Broddy Nisco
Much Ado About Nothing,208.76,Maggio Group,204,Lori Copas
Keith,234.81,Collins Inc,368,Spike Knoller
Call Her Savage,66.4,Cruickshank-Predovic,93,Dill Halmkin
The Uninvited Guest,6.31,Nader LLC,78,Heath Mayhead
Seventh Horse of the Sun  (Suraj Ka Satvan Ghoda),269.23,Koepp-Hickle,139,Ilka Lorans
Planet 51,63.81,"Satterfield, Abbott and Morissette",133,Lizbeth Ary
Lost Horizon,112.58,Heaney Group,370,Phil Webby
Somewhere,88.25,"Mertz, Bergstrom and Ernser",66,Dougie Caroll
"Not Love, Just Frenzy (Más que amor, frenesí)",190.74,Stark LLC,55,Eyde Bauer
I Became a Criminal (They Made Me a Fugitive),206.87,Connelly-Schaefer,183,Andriana Walshaw
"Phantom, The",260.01,Buckridge-Klocko,261,Ulrikaumeko Kighly
Phantasm IV: Oblivion,14.84,"Grimes, Durgan and Doyle",478,Eddy Rockey
Nude Nuns with Big Guns,17.42,Hoeger-Fritsch,368,Kimmie Brookton
Black Hand,92.09,Hoeger Group,89,Minnaminnie Tonge
"Brown Bunny, The",124.86,"Aufderhar, Schumm and Reynolds",389,Madelene Currie
The Indian Fighter,176.78,Bayer-Funk,38,Marrilee Chestney
So Long Letty,244.91,Kris-Walsh,273,Vonni Ganny
Devil in a Blue Dress,235.76,Hoeger-Nienow,138,Mame Pocklington
Nowhere to Hide (Injeong sajeong bol geot eobtda),40.68,Douglas-West,73,Marice Deverill
Beethoven,176.13,Schmeler-Green,209,Prisca Gallemore
Just Add Water,130.22,Heaney and Sons,445,Batsheva Asif
Yrrol: An Enormously Well Thought Out Movie (Yrrol - en kolossalt genomtänkt film),146.17,Kunde-Bauch,310,Nicoli Greenway
Dirty Rotten Scoundrels,5.89,Hackett-Pagac,1,Cherilynn Zorn
A Coming-Out Party,156.9,Koelpin Inc,129,Bernetta Lawley
"Private Lives of Elizabeth and Essex, The",122.05,"Pacocha, Schumm and Lockman",243,Shermy Webermann
Hell and High Water,71.55,Bode-Lemke,382,Mar McCarver
"Hart of London, The",292.34,Larson-Torphy,63,Janna Gerardeaux
Gitmek: My Marlon and Brando (Gitmek: Benim Marlon ve Brandom),190.13,"Hand, Schinner and Pouros",60,Boris Duesbury
After Sex,12.78,Beer-Halvorson,230,Kip Hilbourne
Madame Bovary,214.4,"Ruecker, Reichert and Bailey",442,Elissa Lathan
Gimme the Loot,6.48,Ratke-Pfannerstill,225,Wyatan Ciabatteri
Single White Female,25.61,Pfeffer Inc,165,Elvira Vagges
"Next Man, The",209.37,Boyle-McDermott,458,Parnell Camps
Making 'The New World',103.36,"Maggio, Ruecker and Haley",42,Agosto Jowsey
Boy Meets Girl,80.5,Russel-Powlowski,18,Damita Cratchley
"Ceremony, The (Gishiki)",10.84,Durgan Group,91,Florian Salt
"Sign of the Cross, The",115.38,Kovacek Group,29,Dedie Stave
Borderland,162.51,Orn Inc,356,Lory Mervyn
Jimmy Carter Man from Plains,256.52,"Grimes, Jakubowski and Kertzmann",299,Mara Hartfield
